#{"t_start": 1738673370.7939973, "env_id": "ComponentPlacementEnvironment-v2"}
r,l,t
130.67554,999,5.251027
103.628072,999,6.056981
123.606174,999,8.054016
115.966781,999,8.869347
108.052181,999,10.676871
142.633921,999,11.492172
117.288463,999,13.442953
121.271382,999,14.270912
114.295726,999,15.968107
98.272611,999,16.772245
138.344717,999,18.490026
122.804339,999,19.290589
102.621246,999,21.072289
127.083687,999,21.873486
123.812095,999,23.642585
148.684008,999,24.468469
110.71102,999,26.37061
142.379521,999,27.196189
132.210695,999,28.993118
112.926182,999,29.8215
146.030439,999,31.586922
105.654375,999,32.384614
133.299026,999,34.1219
112.714694,999,34.92137
132.534273,999,36.673178
117.715273,999,39.812493
117.502817,999,41.659184
129.29197,999,42.52092
108.245472,999,44.34257
136.598552,999,45.186703
145.922098,999,46.994139
144.764299,999,47.818563
113.268154,999,49.628182
136.016812,999,50.481798
142.384076,999,52.25893
121.507371,999,53.074791
132.683812,999,54.829047
119.562163,999,55.641908
115.722788,999,57.319151
132.738244,999,58.157394
134.802662,999,59.009225
127.756567,999,60.706395
120.316093,999,61.53663
141.771058,999,63.551837
116.143299,999,64.374848
147.737249,999,66.212921
120.483285,999,67.020779
123.761774,999,68.710474
123.00679,999,69.518623
111.626496,999,71.293805
102.673746,999,74.390994
138.579498,999,76.142479
124.016679,999,76.999193
137.58916,999,78.834047
127.775126,999,79.661664
115.077462,999,81.458383
132.885662,999,82.261971
118.352514,999,84.062947
126.719174,999,84.868495
134.58653,999,86.638065
145.628282,999,87.449805
123.841242,999,89.241247
110.81472,999,90.051539
111.695485,999,91.850579
135.521614,999,92.66876
111.211916,999,94.496313
142.518019,999,95.329976
109.736624,999,97.235939
113.760693,999,98.057273
140.451683,999,99.874395
122.690955,999,100.709258
138.510075,999,102.712149
146.316863,999,103.543293
124.51616,999,105.386369
140.241188,999,106.201296
129.335947,999,110.31681
133.839645,999,111.14794
104.046456,999,112.912362
121.705968,999,113.727285
128.481053,999,115.529294
144.958007,999,116.357888
126.92539,999,117.174805
120.887924,999,118.988099
146.115052,999,119.808432
127.510138,999,121.592837
130.682962,999,122.416263
144.619856,999,124.413825
130.567397,999,125.240775
133.956834,999,127.171143
86.670902,999,127.991681
123.205328,999,129.797093
127.715031,999,130.61413
111.366911,999,132.414918
105.532112,999,133.2408
139.710632,999,135.162727
144.736202,999,135.976013
99.022105,999,137.892486
124.66463,999,138.69469
112.132283,999,140.605232
110.977436,999,141.441123
